battle_time,battle_type,game_mode,player_tag,player_name,player_crowns,player_starting_trophies,opponent_tag,opponent_name,opponent_crowns,opponent_starting_trophies,result,player_deck,opponent_deck,player_deck_hash,opponent_deck_hash,player_king_tower_hp,opponent_king_tower_hp
20260614T135214.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2780.0,#222LJ8Y8,⇀スキル丨Hadi,0,2731.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Zap,Giant,Mega Minion,Bomber,Prince,Rage,Dark Prince,Fireball",7a36d3eb9da3436932dd45a515a5222c,7b2221d973fda8896968edcf110dc724,7728,7728
20260614T122914.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2762.0,#208YRUG9Y8,FoNiX.,0,2628.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Battle Ram,Mini P.E.K.K.A,Inferno Dragon,Mother Witch,Freeze,Mega Knight,Zap,Bomber",7a36d3eb9da3436932dd45a515a5222c,669011b46a13c46d739f04765a49d631,7728,5898
20260614T121535.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2740.0,#20PURRGR2,G❄at l Luca,0,2648.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Zap,Mega Minion,Lumberjack,Arrows,Golem,Bomber,Night Witch,Elite Barbarians",7a36d3eb9da3436932dd45a515a5222c,08d7ab3828aad335f9b9a3371753ae8b,7728,7728
20260614T121225.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2740.0,#8022RY8YU,MRN MOON✨KUN,0,2728.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Cannon,Knight,Giant Snowball,Bomber,Fire Spirit,Skeletons,Goblin Drill,Rocket",7a36d3eb9da3436932dd45a515a5222c,e2a3e60e5bf6d7399469d40868aa3fed,7061,7678
20260614T114540.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2713.0,#220VPRQJ90,Limakulus,0,2679.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Zap,Giant,Wizard,Heal Spirit,Tornado,Sparky,Skeletons,Mini P.E.K.K.A",7a36d3eb9da3436932dd45a515a5222c,8393f9d235b2a76feb6520479fc490b6,7728,7728
20260614T113620.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2713.0,#UV2UJQLCL,Manish,0,2613.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Cannon,Mighty Miner,Princess,Goblin Barrel,Skeletons,Ice Spirit,The Log,Rocket",7a36d3eb9da3436932dd45a515a5222c,f69f043774bb4823e0c3643e10bf09d1,7678,7678
20260614T100332.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2749.0,#R8RJ9Q90,西蒙丨basim✨,1,2674.0,LOSS,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Goblin Cage,Barbarian Barrel,Royal Recruits,Electro Spirit,Flying Machine,Royal Hogs,Arrows,Zappies",7a36d3eb9da3436932dd45a515a5222c,dd78be930eb22a5b1f9f56b176b6f3a9,7728,7728
20260614T084125.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2728.0,#ULJLULP9,Checkmate,0,2627.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Cannon,Musketeer,Skeletons,Ice Golem,Ice Spirit,Fireball,The Log,Hog Rider",7a36d3eb9da3436932dd45a515a5222c,3babc096f0fdd095df0838bf01e2e737,6466,6466
20260614T061706.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2767.0,#UYLRYLYV0,JL ♥️ #RUDY,1,2654.0,LOSS,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Musketeer,Bowler,Giant Snowball,Arrows,Night Witch,Guards,Giant,Graveyard",7a36d3eb9da3436932dd45a515a5222c,d05fc81d8393e4336f7b12197e49bfe7,6422,6422
20260614T031216.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2745.0,#89RY929Q,⚡️ReinHard⚡️,0,2655.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Musketeer,Balloon,Giant Snowball,Ice Golem,Barbarian Barrel,Skeletons,Bomb Tower,Miner",7a36d3eb9da3436932dd45a515a5222c,a2f1727f8ba69c5267833e7d83c22b92,7728,7728
20260613T175341.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2724.0,#CRCRCVY0V,奶茶神のRW❄️坤✨瓜呱,0,2617.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Royal Giant,Barbarian Barrel,Royal Ghost,Hunter,Fisherman,Electro Spirit,Skeletons,Fireball",7a36d3eb9da3436932dd45a515a5222c,75cc742332d9c9b6f562c44e8c8be85c,7453,7728
20260613T145936.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,3,2706.0,#CR8P920CC,Gzx❤️一颗小卤蛋,0,2561.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Executioner,Skeleton King,Zap,Guards,Night Witch,Miner,Golem,Freeze",7a36d3eb9da3436932dd45a515a5222c,77e758112cb3ffb882fa55844de638ef,7728,0
20260613T141245.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2706.0,#RUQ0JU2P,Asaf,0,2679.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Goblin Barrel,Goblins,Valkyrie,Wall Breakers,Rocket,Dart Goblin,Fire Spirit,Ice Spirit",7a36d3eb9da3436932dd45a515a5222c,618bd7cd225975f4139e4f53ef33fca1,7678,6910
20260613T134926.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2706.0,#RUQ0JU2P,Asaf,0,2679.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Heal Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Goblin Barrel,Goblins,Valkyrie,Wall Breakers,Rocket,Dart Goblin,Fire Spirit,Ice Spirit",85b8d5432380b99989876f48229b3c5f,618bd7cd225975f4139e4f53ef33fca1,7678,7678
20260613T130850.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2688.0,#2VJCUR2J2,DestroyerSP1,0,2541.0,WIN,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Battle Ram,Skeleton King,Royal Recruits,Arrows,Fireball,Zappies,Mother Witch,Fisherman",7a36d3eb9da3436932dd45a515a5222c,339e3696d0d1e182397b48d93f880eb7,7728,6960
20260613T081739.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2688.0,#8022RY8YU,MRN MOON✨KUN,0,2591.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Cannon,Knight,Giant Snowball,Bomber,Fire Spirit,Skeletons,Goblin Drill,Rocket",7a36d3eb9da3436932dd45a515a5222c,e2a3e60e5bf6d7399469d40868aa3fed,6677,7678
20260613T031924.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,0,2688.0,#RUQ0JU2P,Asaf,0,2607.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Goblin Barrel,Goblins,Valkyrie,Wall Breakers,Rocket,Dart Goblin,Fire Spirit,Ice Spirit",7a36d3eb9da3436932dd45a515a5222c,618bd7cd225975f4139e4f53ef33fca1,7678,7678
20260612T161625.000Z,pathOfLegend,Ranked1v1_NewArena,#VJCJRJCG9,Ijihu❤️shiyuu,1,2688.0,#8022RY8YU,MRN MOON✨KUN,1,2593.0,DRAW,"Skeleton Army,Knight,Goblin Barrel,Ice Spirit,Inferno Tower,Princess,The Log,Dart Goblin","Cannon,Knight,Giant Snowball,Bomber,Fire Spirit,Skeletons,Goblin Drill,Rocket",7a36d3eb9da3436932dd45a515a5222c,e2a3e60e5bf6d7399469d40868aa3fed,4948,7678
